id,host_id,name,neighbourhood_cleansed,cluster_kmeans
694393,3553675,Spend the summer in Copenhagen at Frederiksberg,Frederiksberg,0
695135,3557818,Room with a nice view near Copenhagen,Brnshj-Husum,0
695136,3557818,Large room near Copenhagen,Brnshj-Husum,0
697046,3570281,"Free parking,garden near City",Valby,4
700271,3592408,Large and light apartment in hip area,Nrrebro,0
705361,3623769,"160 sqm/5 rooms, near city centre, Metro and cafés",Vesterbro-Kongens Enghave,4
707226,3635129,City centre lakeside balcony flat,Indre By,0
708262,3642026,"Nice location in Vesterbro, Cph",Vesterbro-Kongens Enghave,3
711746,3198506,Charming  family apartment,sterbro,2
718831,3443745,Bright and spacious family apartment in Vesterbro,Vesterbro-Kongens Enghave,4
720038,3714910,Classic Vesterbro apartment - 100 m from Metro,Vesterbro-Kongens Enghave,3
721973,3727769,Chr. Havn - lige ved kanalen,Indre By,0
729171,1424919,Simple stay in beautiful Nørrebro by metro st.,Nrrebro,0
731062,3803177,Homely apartment in central city,Amager Vest,2
734411,3374592,Charming flat on Sønder Boulevard,Vesterbro-Kongens Enghave,4
735068,3834396,Central artist apartment with garden,Frederiksberg,0
744664,3903437,Large penthouse near center of CPH,Amager Vest,2
748920,3934935,Bright penthouse in the heart of Vesterbro,Vesterbro-Kongens Enghave,3
768646,126777,"Bright and arty architectural icon by ""B.I.G.""",Amager Vest,1
768784,126777,"Amazing room in ""B.I.G"" apartment",Amager Vest,0
779739,4111439,Spacious Villa - close to City,Amager st,1
784915,4138490,Frederiksberg 5 minuts to Metro,Frederiksberg,4
792378,4174590,Stylish BIG place - Very central - Great for kids!,sterbro,2
802110,268171,Cosy apartment in Copenhagen SV,Vesterbro-Kongens Enghave,3
812320,4270618,Apt. on Christianshavn w. balconies,Indre By,1
815346,4283484,Spacious modern house,Brnshj-Husum,2
816608,2170713,Artsy apartment just between downtown & the beach,Amager st,0
820869,4310887,Beauty & charm in the heart of Cph.,Indre By,4
828245,4342394,Cosy bright home with balcony close to Central St.,Frederiksberg,0
859185,4497809,Superb flat by the lakes in CPH,Indre By,4
867964,4569395,Raw and charming with a great view.,Nrrebro,0
869809,4583586,House and beautiful garden near CPH,Brnshj-Husum,4
878275,1329168,Two-storey apartment with view,Vesterbro-Kongens Enghave,4
882992,3632102,Unbeatable location in Copenhagen!,Nrrebro,0
884518,446057,Water-front apartment + balcony,Vesterbro-Kongens Enghave,3
885642,1736361,Private room 8 min from Copenhagen central station,Vesterbro-Kongens Enghave,3
888226,4710383,Copenhagen V,Vesterbro-Kongens Enghave,4
892273,4505136,Lovely home in cool Copenhagen,Vesterbro-Kongens Enghave,3
893639,4430474,Cool apartment near Christiania,Amager st,0
894420,4761790,Wonderful apt. right in the city!,Indre By,1
895117,4767055,"Coolest neighbourhood in the world ""Time Out"" says",Nrrebro,1
